location_name,longitude,latitude,acres,year,species_name,stagename,numberstocked
MAUMEE BAY STATE PARK POND,-83.374627,41.680752,50,2002,Channel Catfish,Yearling,2310
DAUGHERTY LAKE,-83.425858,41.144922,12,2002,Channel Catfish,Yearling,417
MOTTRAM LAKE,NULL,NULL,17,2002,Channel Catfish,Yearling,639
LAMBERJACK LAKE,-83.432109,41.158345,32,2002,Channel Catfish,Yearling,1008
ARCHBOLD RESERVOIR #1,-84.295251,41.520148,20,2002,Channel Catfish,Yearling,1434
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,2002,Channel Catfish,Yearling,1084
WAUSEON RESERVOIR #1,-84.151879,41.511738,11,2002,Channel Catfish,Yearling,895
WAUSEON RESERVOIR #2,-84.149402,41.511667,50,2002,Channel Catfish,Yearling,2159
DELTA RESERVOIR #2,-84.013367,41.591180,52,2002,Channel Catfish,Yearling,2243
SWANTON WATERWORKS RESERVOIR,-83.873831,41.568890,20,2002,Channel Catfish,Yearling,1680
OLANDER LAKE,-83.709372,41.691181,24,2002,Channel Catfish,Yearling,1606
SHELBY RESERVOIR #3,-82.652779,40.909478,51,2002,Channel Catfish,Yearling,3034
LAKE LORAMIE,-84.362362,40.363606,869,2002,Channel Catfish,Yearling,2714
HANCOCK COUNTY WETLANDS #1,NULL,NULL,20,2002,Largemouth Bass,Fingerlings,1546
SHELBY RESERVOIR #2,-82.655453,40.868950,27,2002,Largemouth Bass,Fingerlings,2083
AEP RECREATION LAND,NULL,NULL,N/A,2002,Largemouth Bass,Fingerlings,2508
TRIMBLE WILDLIFE AREA,NULL,NULL,N/A,2002,Largemouth Bass,Fingerlings,202
MONROE LAKE,-81.137885,39.818172,39,2003,Channel Catfish,Catchable,1107
MONROE LAKE,-81.137885,39.818172,39,2003,Largemouth Bass,Fingerlings,5611
NORTH BALTIMORE RESERVOIR #2,-83.664503,41.172587,44,2003,Yellow Perch,Yearling,124
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2003,Walleye,Fry,197890
MOSQUITO LAKE,-80.758136,41.300057,7204,2003,Walleye,Fry,582218
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2003,Walleye,Fry,59850
LIMA LAKE,-84.050626,40.757473,87,2003,Saugeye,Fingerlings,8855
PAULDING RESERVOIR,-84.591437,41.124255,67,2003,Saugeye,Fingerlings,8855
VAN WERT RESERVOIR #1,-84.579849,40.849321,61,2003,Saugeye,Fingerlings,7527
VAN WERT RESERVOIR #2 OLD (pre 2007),-84.575654,40.844017,61,2003,Saugeye,Fingerlings,7527
INDIAN LAKE,-83.875493,40.467488,5036,2003,Saugeye,Fingerlings,82627
ARCHBOLD RESERVOIR #1,-84.295251,41.520148,20,2003,Saugeye,Fingerlings,2339
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,2003,Saugeye,Fingerlings,5846
MCCOMB RESERVOIR #2,-83.779104,41.106120,20,2003,Saugeye,Fingerlings,2339
OTTAWA RESERVOIR,-84.021753,41.014453,20,2003,Saugeye,Fingerlings,2339
WAUSEON RESERVOIR #1,-84.151879,41.511738,11,2003,Saugeye,Fingerlings,1559
WAUSEON RESERVOIR #2,-84.149402,41.511667,50,2003,Saugeye,Fingerlings,4677
DELTA RESERVOIR #2,-84.013367,41.591180,52,2003,Saugeye,Fingerlings,5457
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2003,Walleye,Fingerlings,118983
NORWALK RESERVOIR #3,-82.590454,41.234447,92,2003,Walleye,Fingerlings,10499
NEW LONDON RESERVOIR,-82.419436,41.066138,212,2003,Walleye,Fingerlings,22164
SHELBY RESERVOIR #3,-82.652779,40.909478,51,2003,Walleye,Fingerlings,5833
